,Student_ID,Name,Department,Age,Gender,Math,Physics,Chemistry,English,Attendance,Average,total,Grade 
96,1097.0,Hassan,AI,20.0,F,97.0,90.0,98.0,99.0,63.0,96.0,384.0,A
198,1199.0,Aya,IS,19.0,F,90.0,97.0,92.0,97.0,89.0,94.0,376.0,A
175,1176.0,Laila,IS,19.0,F,76.0,98.0,98.0,99.0,76.0,92.75,371.0,A
113,1114.0,Ali,AI,18.0,M,84.0,96.0,97.0,90.0,84.0,91.75,367.0,A
179,1180.0,Mona,DS,20.0,M,95.0,69.0,98.0,100.0,67.0,90.5,362.0,A
129,1130.0,Ziad,IS,18.0,F,92.0,100.0,76.0,92.0,75.0,90.0,360.0,A
104,1105.0,Karim,DS,19.0,F,95.0,80.0,94.0,91.0,66.0,90.0,360.0,A
51,1052.0,Mariam,AI,21.0,F,94.0,73.0,92.0,99.0,91.0,89.5,358.0,B
126,1127.0,Karim,CS,20.0,M,79.0,95.0,86.0,96.0,94.0,89.0,356.0,B
122,1123.0,Mahmoud,CS,18.0,F,86.0,82.0,88.0,98.0,96.0,88.5,354.0,B
186,1187.0,Ahmed,AI,19.0,F,100.0,61.0,95.0,97.0,72.0,88.25,353.0,B
93,1094.0,Laila,IS,22.0,M,95.0,87.0,74.0,96.0,73.0,88.0,352.0,B
100,1101.0,Mona,IS,21.0,M,94.0,100.0,97.0,61.0,65.0,88.0,352.0,B
84,1085.0,Mariam,DS,19.0,F,88.0,94.0,69.0,100.0,75.0,87.75,351.0,B
70,1071.0,Mariam,AI,18.0,M,100.0,84.0,97.0,69.0,68.0,87.5,350.0,B
165,1166.0,Karim,IS,21.0,F,95.0,65.0,96.0,94.0,71.0,87.5,350.0,B
62,1063.0,Nour,IS,22.0,F,98.0,61.0,94.0,94.0,91.0,86.75,347.0,B
138,1139.0,Aya,DS,21.0,F,91.0,87.0,98.0,70.0,88.0,86.5,346.0,B
50,1051.0,Nour,CS,21.0,M,95.0,91.0,61.0,95.0,84.0,85.5,342.0,B
111,1112.0,Ali,IS,20.0,F,76.0,83.0,90.0,93.0,69.0,85.5,342.0,B
127,1128.0,Aya,IS,21.0,M,65.0,100.0,91.0,84.0,67.0,85.0,340.0,B
194,1195.0,Mariam,CS,22.0,M,100.0,87.0,99.0,54.0,88.0,85.0,340.0,B
48,1049.0,Omar,DS,18.0,M,100.0,68.0,82.0,89.0,88.0,84.75,339.0,B
187,1188.0,Ali,AI,18.0,F,90.0,75.0,83.0,89.0,84.0,84.25,337.0,B
29,1030.0,Mariam,DS,21.0,M,71.0,98.0,75.0,90.0,85.0,83.5,334.0,B
168,1169.0,Salma,CS,22.0,M,98.0,88.0,88.0,60.0,61.0,83.5,334.0,B
120,1121.0,Nada,AI,21.0,M,90.0,74.0,85.0,83.0,62.0,83.0,332.0,B
115,1116.0,Aya,IS,21.0,M,78.0,94.0,83.0,77.0,65.0,83.0,332.0,B
76,1077.0,Karim,AI,22.0,M,60.0,86.0,90.0,94.0,100.0,82.5,330.0,B
12,1013.0,Nour,CS,22.0,F,73.0,89.0,89.0,79.0,85.0,82.5,330.0,B
86,1087.0,Hassan,AI,20.0,F,57.0,95.0,96.0,79.0,91.0,81.75,327.0,B
185,1186.0,Youssef,AI,20.0,M,62.0,77.0,89.0,98.0,77.0,81.5,326.0,B
18,1019.0,Ziad,CS,19.0,M,66.0,98.0,90.0,71.0,83.0,81.25,325.0,B
147,1148.0,Salma,DS,21.0,F,99.0,76.0,81.0,69.0,61.0,81.25,325.0,B
28,1029.0,Sara,CS,20.0,M,77.0,98.0,73.0,76.0,91.0,81.0,324.0,B
79,1080.0,Ziad,AI,21.0,F,80.0,97.0,50.0,96.0,90.0,80.75,323.0,B
171,1172.0,Nour,CS,21.0,M,90.0,59.0,76.0,97.0,82.0,80.5,322.0,B
83,1084.0,Ahmed,IS,19.0,F,83.0,74.0,77.0,88.0,63.0,80.5,322.0,B
118,1119.0,Karim,AI,20.0,M,98.0,94.0,52.0,78.0,79.0,80.5,322.0,B
60,1061.0,Nour,CS,21.0,M,79.0,71.0,77.0,93.0,70.0,80.0,320.0,B
26,1027.0,Laila,CS,18.0,M,93.0,50.0,87.0,90.0,91.0,80.0,320.0,B
8,1009.0,Sara,DS,19.0,F,69.0,92.0,97.0,61.0,75.0,79.75,319.0,C
0,1001.0,Aya,DS,18.0,M,97.0,83.0,75.0,62.0,87.0,79.25,317.0,C
103,1104.0,Aya,CS,20.0,M,92.0,85.0,54.0,85.0,91.0,79.0,316.0,C
73,1074.0,Ahmed,IS,19.0,F,63.0,95.0,85.0,73.0,79.0,79.0,316.0,C
135,1136.0,Karim,CS,18.0,M,84.0,66.0,68.0,97.0,64.0,78.75,315.0,C
19,1020.0,Mona,CS,18.0,F,85.0,94.0,60.0,76.0,83.0,78.75,315.0,C
3,1004.0,Youssef,DS,21.0,M,94.0,62.0,96.0,62.0,98.0,78.5,314.0,C
